排名,应用名称,GitHub Stars,分类,开发语言,Docker类型,移植难度,价值评分,优先级,GitHub链接,部署命令
1,Open WebUI,100k,Artificial Intelligence,,🐳 官方镜像,🟠 中等难度,40000,⚡ 高优先级,https://github.com/open-webui/open-webui?ref=selfh.st,docker run -d --name open-webui open-webui:latest
2,Hugo,82k,Blog,,🐳 官方镜像,🟠 中等难度,32800,⚡ 高优先级,https://github.com/gohugoio/hugo?ref=selfh.st,docker run -d --name hugo hugo:latest
3,Supabase,85k,Development,,🐳 官方镜像,🟠 中等难度,28333,⚡ 高优先级,https://github.com/supabase/supabase?ref=selfh.st,docker run -d --name supabase supabase:latest
4,Docusaurus,60k,Wiki,,🐳 官方镜像,🟠 中等难度,24000,⚡ 高优先级,https://github.com/facebook/docusaurus?ref=selfh.st,docker run -d --name docusaurus docusaurus:latest
5,Gatsby,56k,Blog,,🐳 官方镜像,🟠 中等难度,22400,⚡ 高优先级,https://github.com/gatsbyjs/gatsby?ref=selfh.st,docker run -d --name gatsby gatsby:latest
6,AppFlowy,64k,Note-Taking,,🐳 官方镜像,🟠 中等难度,21333,⚡ 高优先级,https://github.com/AppFlowy-IO/AppFlowy?ref=selfh.st,docker run -d --name appflowy AppFlowy:latest
7,LocalSend,63k,Local File Sharing,,🐳 官方镜像,🟠 中等难度,21000,⚡ 高优先级,https://github.com/localsend/localsend?ref=selfh.st,docker run -d --name localsend localsend:latest
8,Jekyll,50k,Blog,,🐳 官方镜像,🟠 中等难度,20000,✨ 中高优先级,https://github.com/jekyll/jekyll?ref=selfh.st,docker run -d --name jekyll jekyll:latest
9,Mastodon,48k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,19200,✨ 中高优先级,https://github.com/mastodon/mastodon?ref=selfh.st,docker run -d --name mastodon mastodon:latest
10,Traefik,55k,Reverse Proxy,,🐳 官方镜像,🟠 中等难度,18333,✨ 中高优先级,https://github.com/traefik/traefik?ref=selfh.st,docker run -d --name traefik traefik:latest
11,Pi-hole,52k,Ad Block,,🐳 官方镜像,🟠 中等难度,17333,✨ 中高优先级,https://github.com/pi-hole/pi-hole?ref=selfh.st,docker run -d --name pi-hole pi-hole:latest
12,Rclone,51k,File Transfer and Sync,,🐳 官方镜像,🟠 中等难度,17000,✨ 中高优先级,https://github.com/rclone/rclone?ref=selfh.st,docker run -d --name rclone rclone:latest
13,Joplin,50k,Note-Taking,,🐳 官方镜像,🟠 中等难度,16667,✨ 中高优先级,https://github.com/laurent22/joplin?ref=selfh.st,docker run -d --name joplin joplin:latest
14,Discourse,44k,Forums,,🐳 官方镜像,🟠 中等难度,14667,✨ 中高优先级,https://github.com/discourse/discourse?ref=selfh.st,docker run -d --name discourse discourse:latest
15,Rocket.Chat,43k,Messaging,,🐳 官方镜像,🟠 中等难度,14333,✨ 中高优先级,https://github.com/RocketChat/Rocket.Chat?ref=selfh.st,docker run -d --name rocket.chat Rocket.Chat:latest
16,Coolify,43k,Deployment,,🐳 官方镜像,🟠 中等难度,14333,✨ 中高优先级,https://github.com/coollabsio/coolify?ref=selfh.st,docker run -d --name coolify coolify:latest
17,Sentry,41k,Development,,🐳 官方镜像,🟠 中等难度,13667,✨ 中高优先级,https://github.com/getsentry/sentry?ref=selfh.st,docker run -d --name sentry sentry:latest
18,Appsmith,37k,No-Code / Low-Code,,🐳 官方镜像,🟠 中等难度,12333,✨ 中高优先级,https://github.com/appsmithorg/appsmith?ref=selfh.st,docker run -d --name appsmith appsmith:latest
19,Cal.com,37k,Calendar,,🐳 官方镜像,🟠 中等难度,12333,✨ 中高优先级,https://github.com/calcom/cal.com?ref=selfh.st,docker run -d --name cal.com cal.com:latest
20,Novu,37k,Development,,🐳 官方镜像,🟠 中等难度,12333,✨ 中高优先级,https://github.com/novuhq/novu?ref=selfh.st,docker run -d --name novu novu:latest
21,Payload,36k,Content Management,,🐳 官方镜像,🟠 中等难度,12000,✨ 中高优先级,https://github.com/payloadcms/payload?ref=selfh.st,docker run -d --name payload payload:latest
22,ToolJet,36k,No-Code / Low-Code,,🐳 官方镜像,🟠 中等难度,12000,✨ 中高优先级,https://github.com/ToolJet/ToolJet?ref=selfh.st,docker run -d --name tooljet ToolJet:latest
23,SiYuan,35k,Note-Taking,,🐳 官方镜像,🟠 中等难度,11667,✨ 中高优先级,https://github.com/siyuan-note/siyuan?ref=selfh.st,docker run -d --name siyuan siyuan:latest
24,Puter,34k,Web Desktop,,🐳 官方镜像,🟠 中等难度,11333,✨ 中高优先级,https://github.com/HeyPuter/puter?ref=selfh.st,docker run -d --name puter puter:latest
25,LocalAI,33k,Artificial Intelligence,,🐳 官方镜像,🟠 中等难度,11000,✨ 中高优先级,https://github.com/mudler/LocalAI?ref=selfh.st,docker run -d --name localai LocalAI:latest
26,Medusa,30k,E-commerce,,🐳 官方镜像,🟠 中等难度,10000,💫 中等优先级,https://github.com/medusajs/medusa?ref=selfh.st,docker run -d --name medusa medusa:latest
27,restic,29k,Backups,,🐳 官方镜像,🟠 中等难度,9667,💫 中等优先级,https://github.com/restic/restic?ref=selfh.st,docker run -d --name restic restic:latest
28,Headscale,29k,Remote Access,,🐳 官方镜像,🟠 中等难度,9667,💫 中等优先级,https://github.com/juanfont/headscale?ref=selfh.st,docker run -d --name headscale headscale:latest
29,PostHog,27k,Marketing,,🐳 官方镜像,🟠 中等难度,9000,💫 中等优先级,https://github.com/PostHog/posthog?ref=selfh.st,docker run -d --name posthog posthog:latest
30,Sunshine,27k,Gaming,,🐳 官方镜像,🟠 中等难度,9000,💫 中等优先级,https://github.com/LizardByte/Sunshine?ref=selfh.st,docker run -d --name sunshine Sunshine:latest
31,LibreChat,27k,Artificial Intelligence,,🐳 官方镜像,🟠 中等难度,9000,💫 中等优先级,https://github.com/danny-avila/LibreChat?ref=selfh.st,docker run -d --name librechat LibreChat:latest
32,Jitsi Meet,26k,Video Conferencing,,🐳 官方镜像,🟠 中等难度,8667,💫 中等优先级,https://github.com/jitsi/jitsi-meet?ref=selfh.st,docker run -d --name jitsi-meet jitsi-meet:latest
33,Loki,26k,Logs,,🐳 官方镜像,🟠 中等难度,8667,💫 中等优先级,https://github.com/grafana/loki?ref=selfh.st,docker run -d --name loki loki:latest
34,Budibase,25k,No-Code / Low-Code,,🐳 官方镜像,🟠 中等难度,8333,💫 中等优先级,https://github.com/Budibase/budibase?ref=selfh.st,docker run -d --name budibase budibase:latest
35,ChangeDetection,25k,Monitoring,,🐳 官方镜像,🟠 中等难度,8333,💫 中等优先级,https://github.com/dgtlmoon/changedetection.io?ref=selfh.st,docker run -d --name changedetection changedetection.io:latest
36,Authelia,24k,Authentication,,🐳 官方镜像,🟠 中等难度,8000,💫 中等优先级,https://github.com/authelia/authelia?ref=selfh.st,docker run -d --name authelia authelia:latest
37,Chatwoot,24k,Support / Ticketing,,🐳 官方镜像,🟠 中等难度,8000,💫 中等优先级,https://github.com/chatwoot/chatwoot?ref=selfh.st,docker run -d --name chatwoot chatwoot:latest
38,KeePassXC,23k,Password Manager,,🐳 官方镜像,🟠 中等难度,7667,💫 中等优先级,https://github.com/keepassxreboot/keepassxc?ref=selfh.st,docker run -d --name keepassxc keepassxc:latest
39,Plausible,23k,Web Analytics,,🐳 官方镜像,🟠 中等难度,7667,💫 中等优先级,https://github.com/plausible/analytics?ref=selfh.st,docker run -d --name plausible analytics:latest
40,Watchtower,22k,Docker,,🐳 官方镜像,🟠 中等难度,7333,💫 中等优先级,https://github.com/containrrr/watchtower?ref=selfh.st,docker run -d --name watchtower watchtower:latest
41,SigNoz,22k,Monitoring,,🐳 官方镜像,🟠 中等难度,7333,💫 中等优先级,https://github.com/SigNoz/signoz?ref=selfh.st,docker run -d --name signoz signoz:latest
42,Dub,22k,URL Shortener,,🐳 官方镜像,🟠 中等难度,7333,💫 中等优先级,https://github.com/dubinc/dub?ref=selfh.st,docker run -d --name dub dub:latest
43,Postiz,22k,Scheduling,,🐳 官方镜像,🟠 中等难度,7333,💫 中等优先级,https://github.com/gitroomhq/postiz-app?ref=selfh.st,docker run -d --name postiz postiz-app:latest
44,Eleventy,18k,Blog,,🐳 官方镜像,🟠 中等难度,7200,💫 中等优先级,https://github.com/11ty/eleventy?ref=selfh.st,docker run -d --name eleventy eleventy:latest
45,Matomo,21k,Web Analytics,,🐳 官方镜像,🟠 中等难度,7000,💫 中等优先级,https://github.com/matomo-org/matomo?ref=selfh.st,docker run -d --name matomo matomo:latest
46,Dokploy,21k,Deployment,,🐳 官方镜像,🟠 中等难度,7000,💫 中等优先级,https://github.com/Dokploy/dokploy?ref=selfh.st,docker run -d --name dokploy dokploy:latest
47,BookStack,17k,Wiki,,🐳 官方镜像,🟠 中等难度,6800,💫 中等优先级,https://github.com/BookStackApp/BookStack?ref=selfh.st,docker run -d --name bookstack BookStack:latest
48,wg-easy,20k,Remote Access,,🐳 官方镜像,🟠 中等难度,6667,💫 中等优先级,https://github.com/wg-easy/wg-easy?ref=selfh.st,docker run -d --name wg-easy wg-easy:latest
49,Ente Photos,20k,Photos,,🐳 官方镜像,🟠 中等难度,6667,💫 中等优先级,https://github.com/ente-io/ente?ref=selfh.st,docker run -d --name ente-photos ente:latest
50,Ente Auth,20k,2FA,,🐳 官方镜像,🟠 中等难度,6667,💫 中等优先级,https://github.com/ente-io/ente?ref=selfh.st,docker run -d --name ente-auth ente:latest
51,Teleport,19k,Authentication,,🐳 官方镜像,🟠 中等难度,6333,💫 中等优先级,https://github.com/gravitational/teleport?ref=selfh.st,docker run -d --name teleport teleport:latest
52,Infisical,18k,Password Manager,,🐳 官方镜像,🟠 中等难度,6000,💫 中等优先级,https://github.com/Infisical/infisical?ref=selfh.st,docker run -d --name infisical infisical:latest
53,Dockge,18k,Deployment,,🐳 官方镜像,🟠 中等难度,6000,💫 中等优先级,https://github.com/louislam/dockge?ref=selfh.st,docker run -d --name dockge dockge:latest
54,Zola,15k,Blog,,🐳 官方镜像,🟠 中等难度,6000,💫 中等优先级,https://github.com/getzola/zola?ref=selfh.st,docker run -d --name zola zola:latest
55,Bitwarden,17k,2FA,,🐳 官方镜像,🟠 中等难度,5667,💫 中等优先级,https://github.com/bitwarden/server?ref=selfh.st,docker run -d --name bitwarden server:latest
56,Invidious,17k,Front End,,🐳 官方镜像,🟠 中等难度,5667,💫 中等优先级,https://github.com/iv-org/invidious?ref=selfh.st,docker run -d --name invidious invidious:latest
57,Authentik,17k,Authentication,,🐳 官方镜像,🟠 中等难度,5667,💫 中等优先级,https://github.com/goauthentik/authentik?ref=selfh.st,docker run -d --name authentik authentik:latest
58,SafeLine,17k,Firewall,,🐳 官方镜像,🟠 中等难度,5667,💫 中等优先级,https://github.com/chaitin/SafeLine?ref=selfh.st,docker run -d --name safeline SafeLine:latest
59,Valkey,22k,Database,,🐳 官方镜像,🔴 较难移植,5500,💫 中等优先级,https://github.com/valkey-io/valkey?ref=selfh.st,docker run -d --name valkey valkey:latest
60,Overleaf,16k,LaTeX,,🐳 官方镜像,🟠 中等难度,5333,💫 中等优先级,https://github.com/overleaf/overleaf?ref=selfh.st,docker run -d --name overleaf overleaf:latest
61,Flarum,16k,Forums,,🐳 官方镜像,🟠 中等难度,5333,💫 中等优先级,https://github.com/flarum/flarum?ref=selfh.st,docker run -d --name flarum flarum:latest
62,Postal,16k,Email,,🐳 官方镜像,🟠 中等难度,5333,💫 中等优先级,https://github.com/postalserver/postal?ref=selfh.st,docker run -d --name postal postal:latest
63,NocoBase,16k,No-Code / Low-Code,,🐳 官方镜像,🟠 中等难度,5333,💫 中等优先级,https://github.com/nocobase/nocobase?ref=selfh.st,docker run -d --name nocobase nocobase:latest
64,NetBird,16k,Remote Access,,🐳 官方镜像,🟠 中等难度,5333,💫 中等优先级,https://github.com/netbirdio/netbird?ref=selfh.st,docker run -d --name netbird netbird:latest
65,Fail2Ban,15k,Networking,,🐳 官方镜像,🟠 中等难度,5000,💡 一般优先级,https://github.com/fail2ban/fail2ban?ref=selfh.st,docker run -d --name fail2ban fail2ban:latest
66,NodeBB,15k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,5000,💡 一般优先级,https://github.com/NodeBB/NodeBB?ref=selfh.st,docker run -d --name nodebb NodeBB:latest
67,Mail-in-a-Box,15k,Email,,🐳 官方镜像,🟠 中等难度,5000,💡 一般优先级,https://github.com/mail-in-a-box/mailinabox?ref=selfh.st,docker run -d --name mail-in-a-box mailinabox:latest
68,Calibre-Web,15k,Books,,🐳 官方镜像,🟠 中等难度,5000,💡 一般优先级,https://github.com/janeczku/calibre-web?ref=selfh.st,docker run -d --name calibre-web calibre-web:latest
69,Apache Answer,15k,Forums,,🐳 官方镜像,🟠 中等难度,5000,💡 一般优先级,https://github.com/apache/answer?ref=selfh.st,docker run -d --name apache-answer answer:latest
70,PeerTube,14k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,4667,💡 一般优先级,https://github.com/Chocobozzz/PeerTube?ref=selfh.st,docker run -d --name peertube PeerTube:latest
71,CapRover,14k,Deployment,,🐳 官方镜像,🟠 中等难度,4667,💡 一般优先级,https://github.com/caprover/caprover?ref=selfh.st,docker run -d --name caprover caprover:latest
72,Zigbee2MQTT,14k,Internet of Things,,🐳 官方镜像,🟠 中等难度,4667,💡 一般优先级,https://github.com/Koenkk/zigbee2mqtt?ref=selfh.st,docker run -d --name zigbee2mqtt zigbee2mqtt:latest
73,Lemmy,14k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,4667,💡 一般优先级,https://github.com/LemmyNet/lemmy?ref=selfh.st,docker run -d --name lemmy lemmy:latest
74,Windmill,14k,Development Infrastructure,,🐳 官方镜像,🟠 中等难度,4667,💡 一般优先级,https://github.com/windmill-labs/windmill?ref=selfh.st,docker run -d --name windmill windmill:latest
75,PostgreSQL,18k,Database,,🐳 官方镜像,🔴 较难移植,4500,💡 一般优先级,https://github.com/postgres/postgres?ref=selfh.st,docker run -d --name postgresql postgres:latest
76,Seafile,13k,Cloud Storage,,🐳 官方镜像,🟠 中等难度,4333,💡 一般优先级,https://github.com/haiwen/seafile?ref=selfh.st,docker run -d --name seafile seafile:latest
77,Habitica,13k,Habit Tracking,,🐳 官方镜像,🟠 中等难度,4333,💡 一般优先级,https://github.com/HabitRPG/habitica?ref=selfh.st,docker run -d --name habitica habitica:latest
78,Maxun,13k,No-Code / Low-Code,,🐳 官方镜像,🟠 中等难度,4333,💡 一般优先级,https://github.com/getmaxun/maxun?ref=selfh.st,docker run -d --name maxun maxun:latest
79,Snipe-IT,12k,,,🐳 官方镜像,🟠 中等难度,4000,💡 一般优先级,https://github.com/grokability/snipe-it?ref=selfh.st,docker run -d --name snipe-it snipe-it:latest
80,Semaphore UI,12k,Automation,,🐳 官方镜像,🟠 中等难度,4000,💡 一般优先级,https://github.com/semaphoreui/semaphore?ref=selfh.st,docker run -d --name semaphore-ui semaphore:latest
81,Borg,12k,Backups,,🐳 官方镜像,🟠 中等难度,4000,💡 一般优先级,https://github.com/borgbackup/borg?ref=selfh.st,docker run -d --name borg borg:latest
82,LibreTranslate,12k,Language,,🐳 官方镜像,🟠 中等难度,4000,💡 一般优先级,https://github.com/LibreTranslate/LibreTranslate?ref=selfh.st,docker run -d --name libretranslate LibreTranslate:latest
83,Automatisch,12k,Workflow Automation,,🐳 官方镜像,🟠 中等难度,4000,💡 一般优先级,https://github.com/automatisch/automatisch?ref=selfh.st,docker run -d --name automatisch automatisch:latest
84,YOURLS,11k,URL Shortener,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/YOURLS/YOURLS?ref=selfh.st,docker run -d --name yourls YOURLS:latest
85,OpenProject,11k,Kanban,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/opf/openproject?ref=selfh.st,docker run -d --name openproject openproject:latest
86,Webhook,11k,Webhooks,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/adnanh/webhook?ref=selfh.st,docker run -d --name webhook webhook:latest
87,Misskey,11k,ActivityPub / Fediverse,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/misskey-dev/misskey?ref=selfh.st,docker run -d --name misskey misskey:latest
88,Mailcow,11k,Email,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/mailcow/mailcow-dockerized?ref=selfh.st,docker run -d --name mailcow mailcow-dockerized:latest
89,Whoogle,11k,Search Engines,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/benbusby/whoogle-search?ref=selfh.st,docker run -d --name whoogle whoogle-search:latest
90,Neko,11k,Media Streaming,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/m1k1o/neko?ref=selfh.st,docker run -d --name neko neko:latest
91,CrowdSec,11k,Networking,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/crowdsecurity/crowdsec?ref=selfh.st,docker run -d --name crowdsec crowdsec:latest
92,Formbricks,11k,Surveys and Forms,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/formbricks/formbricks?ref=selfh.st,docker run -d --name formbricks formbricks:latest
93,XPipe,11k,Server Management,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/xpipe-io/xpipe?ref=selfh.st,docker run -d --name xpipe xpipe:latest
94,Documenso,11k,Document Signing,,🐳 官方镜像,🟠 中等难度,3667,💡 一般优先级,https://github.com/documenso/documenso?ref=selfh.st,docker run -d --name documenso documenso:latest
95,VictoriaMetrics,14k,Database,,🐳 官方镜像,🔴 较难移植,3500,💡 一般优先级,https://github.com/VictoriaMetrics/VictoriaMetrics?ref=selfh.st,docker run -d --name victoriametrics VictoriaMetrics:latest
96,SonarQube,10k,Development,,🐳 官方镜像,🟠 中等难度,3333,💡 一般优先级,https://github.com/SonarSource/sonarqube?ref=selfh.st,docker run -d --name sonarqube sonarqube:latest
97,WooCommerce,10k,E-commerce,,🐳 官方镜像,🟠 中等难度,3333,💡 一般优先级,https://github.com/woocommerce/woocommerce?ref=selfh.st,docker run -d --name woocommerce woocommerce:latest
98,Mosquitto,10k,Internet of Things,,🐳 官方镜像,🟠 中等难度,3333,💡 一般优先级,https://github.com/eclipse-mosquitto/mosquitto?ref=selfh.st,docker run -d --name mosquitto mosquitto:latest
99,FlareSolverr,10k,*arr,,🐳 官方镜像,🟠 中等难度,3333,💡 一般优先级,https://github.com/FlareSolverr/FlareSolverr?ref=selfh.st,docker run -d --name flaresolverr FlareSolverr:latest
100,MySQL,11k,Database,,🐳 官方镜像,🔴 较难移植,2750,💡 一般优先级,https://github.com/mysql/mysql-server?ref=selfh.st,docker run -d --name mysql mysql-server:latest
